date,FRA_systemic_stress_f1__FRA_systemic_stress_f2
2021-07-12,-0.8671449697779477
2021-07-13,-0.8670844001880316
2021-07-14,-0.8670371649672358
2021-07-15,-0.8670003271082756
2021-07-16,-0.8669715970446529
2021-07-19,-0.866949189730598
2021-07-20,-0.8669317133393284
2021-07-21,-0.8669180825615984
2021-07-22,-0.866907451051189
2021-07-23,-0.8668991587781548
2021-07-26,-0.8668926909929588
2021-07-27,-0.866887646236274
2021-07-28,-0.866883711397611
2021-07-29,-0.8668806422678231
2021-07-30,-0.8668782483742192
2021-08-02,-0.8668763811545069
2021-08-03,-0.8666441993387642
2021-08-04,-0.8666585018834834
2021-08-05,-0.8666833417346002
2021-08-06,-0.8667111094083103
2021-08-09,-0.8667379067556089
2021-08-10,-0.8667619506721125
2021-08-11,-0.8667826240487299
2021-08-12,-0.8667999204871981
2021-08-13,-0.8668141259954473
2021-08-16,-0.8668256416859571
2021-08-17,-0.8668348892092929
2021-08-18,-0.866842263862099
2021-08-19,-0.8668481144869216
2021-08-20,-0.8668527378793218
2021-08-23,-0.866856380590781
2021-08-24,-0.8668592441000618
2021-08-25,-0.8668614911442839
2021-08-26,-0.8668632520581168
2021-08-27,-0.8668646305722142
2021-08-30,-0.8668657088562091
2021-08-31,-0.8668665517690964
2021-09-01,-0.8682522841161306
2021-09-02,-0.867952048758018
2021-09-03,-0.867716350206227
2021-09-06,-0.8675315757856057
2021-09-07,-0.8673868823915244
2021-09-08,-0.8672736733438331
2021-09-09,-0.8671851575859962
2021-09-10,-0.8671159854867532
2021-09-13,-0.8670619520884475
2021-09-14,-0.8670197577921591
2021-09-15,-0.8669868168517161
2021-09-16,-0.8669611050228212
2021-09-17,-0.8669410389036931
2021-09-20,-0.8669253807028845
2021-09-21,-0.866913163274672
2021-09-22,-0.8669036312291967
2021-09-23,-0.8668961947436343
2021-09-24,-0.8668903933795604
2021-09-27,-0.8668858677658158
2021-09-28,-0.8668823374534632
2021-09-29,-0.8668795836075232
2021-09-30,-0.8668774354851437
2021-10-01,-0.8673870474072861
2021-10-04,-0.8672737280740487
2021-10-05,-0.8671851618762602
2021-10-06,-0.8671159722769037
2021-10-07,-0.867061938582013
2021-10-08,-0.8670197522092479
2021-10-11,-0.8669868224251289
2021-10-12,-0.8669611223324749
2021-10-13,-0.8669410672169773
2021-10-14,-0.8669254187257145
2021-10-15,-0.8669132095571808
2021-10-18,-0.8669036843721107
2021-10-19,-0.8668962534920533
2021-10-20,-0.8668904566551214
2021-10-21,-0.8668859346667942
2021-10-22,-0.8668824072396235
2021-10-25,-0.8668796556790294
2021-10-26,-0.8668775093604583
2021-10-27,-0.8668758351707607
2021-10-28,-0.8668745292658866
2021-10-29,-0.8668735106378874
2021-11-01,-0.8668727160947457
2021-11-02,-0.8667607001726113
2021-11-03,-0.8667683556186101
2021-11-04,-0.8667806943837694
2021-11-05,-0.8667942072886164
2021-11-08,-0.8668071202229135
2021-11-09,-0.8668186393317988
2021-11-10,-0.8668285062169914
2021-11-11,-0.8668367397548921
2021-11-12,-0.8668434892159478
2021-11-15,-0.866848953100189
2021-11-16,-0.8668533362693678
2021-11-17,-0.8668568290031403
2021-11-18,-0.8668595982911885
2021-11-19,-0.8668617856953196
2021-11-22,-0.8668635085198397
2021-11-23,-0.866864862454063
2021-11-24,-0.8668659246871963
2021-11-25,-0.8668667569797214
2021-11-26,-0.8668674084498504
2021-11-29,-0.866867917984865
2021-11-30,-0.8668683162667709
2021-12-01,-0.8644840453833318
2021-12-02,-0.8649099409154888
2021-12-03,-0.8652807116102653
2021-12-06,-0.8655934398622854
2021-12-07,-0.8658517136548018
2021-12-08,-0.8660619116424199
2021-12-09,-0.8662311944919602
2021-12-10,-0.8663664810419928
2021-12-13,-0.866473981385434
2021-12-14,-0.866559035331019
2021-12-15,-0.8666261101895998
2021-12-16,-0.8666788746211878
2021-12-17,-0.8667203023500952
2021-12-20,-0.8667527811871159
2021-12-21,-0.8667782152116166
2021-12-22,-0.8667981149211111
2021-12-23,-0.8668136739123123
2021-12-24,-0.8668258325683537
2021-12-27,-0.866835330094861
2021-12-28,-0.8668427465448301
2021-12-29,-0.8668485364725728
2021-12-30,-0.8668530557160635
2021-12-31,-0.8668565826110971
2022-01-03,-0.8663852066581789
2022-01-04,-0.8664143742230163
2022-01-05,-0.8664668538528275
2022-01-06,-0.8665261843580122
2022-01-07,-0.866583805815645
2022-01-10,-0.8666357255351307
2022-01-11,-0.8666805020143593
2022-01-12,-0.8667180481653779
2022-01-13,-0.866748936673044
2022-01-14,-0.8667740085980925
2022-01-17,-0.8667941621272753
2022-01-18,-0.8668102462460225
2022-01-19,-0.8668230139620515
2022-01-20,-0.8668331081086055
2022-01-21,-0.8668410639709546
2022-01-24,-0.8668473197370496
2022-01-25,-0.8668522297928195
2022-01-26,-0.8668560782372847
2022-01-27,-0.8668590913449237
2022-01-28,-0.8668614484582717
2022-01-31,-0.8668632911988171
2022-02-01,-0.8656825311648749
2022-02-02,-0.8658992362925342
2022-02-03,-0.8660856488653949
2022-02-04,-0.8662416305843534
2022-02-07,-0.8663697358247712
2022-02-08,-0.866473577238656
2022-02-09,-0.8665569588798885
2022-02-10,-0.8666234482191737
2022-02-11,-0.8666761933001769
2022-02-14,-0.8667178720204802
2022-02-15,-0.8667507085173042
2022-02-16,-0.8667765200088448
2022-02-17,-0.8667967740658143
2022-02-18,-0.8668126459055155
2022-02-21,-0.8668250707641901
2022-02-22,-0.8668347894235644
2022-02-23,-0.8668423865673994
2022-02-24,-0.8668483224314365
2022-02-25,-0.8668529585442171
2022-02-28,-0.8668565784461904
2022-03-01,-0.8646358379430215
2022-03-02,-0.8650658167181176
2022-03-03,-0.8654253467333226
2022-03-04,-0.865720384345047
2022-03-07,-0.865959359390206
2022-03-08,-0.8661511235252819
2022-03-09,-0.8663039543753451
2022-03-10,-0.8664251387636996
2022-03-11,-0.8665208631480521
2022-03-14,-0.8665962577220184
2022-03-15,-0.8666555089367776
2022-03-16,-0.8667019944778527
2022-03-17,-0.866738417122677
2022-03-18,-0.866766926467065
2022-03-21,-0.8667892243763186
2022-03-22,-0.8668066536132601
2022-03-23,-0.8668202708404479
2022-03-24,-0.8668309059145831
2022-03-25,-0.8668392095659824
2022-03-28,-0.866845691457746
2022-03-29,-0.866850750400369
2022-03-30,-0.866854698240488
2022-03-31,-0.86685777868953
2022-04-01,-0.8667618019224325
2022-04-04,-0.8667839908526952
2022-04-05,-0.8668018106680503
2022-04-06,-0.8668160216767009
2022-04-07,-0.8668272956923435
2022-04-08,-0.8668362046155408
2022-04-11,-0.8668432236298688
2022-04-12,-0.866848741068218
2022-04-13,-0.8668530705853342
2022-04-14,-0.8668564633718254
2022-04-15,-0.8668591193335698
2022-04-18,-0.866861196816074
2022-04-19,-0.8668628208001056
2022-04-20,-0.866864089665588
2022-04-21,-0.866865080693231
2022-04-22,-0.8668658544931267
2022-04-25,-0.8668664585425814
2022-04-26,-0.8668669299964279
2022-04-27,-0.8668672979099736
2022-04-28,-0.8668675849916997
2022-04-29,-0.866867808981801
2022-05-02,-0.8668679837344054
2022-05-03,-0.8649621162989453
2022-05-04,-0.8653227531419656
2022-05-05,-0.8656270868739798
2022-05-06,-0.8658784364205168
2022-05-09,-0.8660829671656614
2022-05-10,-0.8662476498566801
2022-05-11,-0.866379230560964
2022-05-12,-0.8664837647422291
2022-05-13,-0.8665664571957081
2022-05-16,-0.866631660060389
2022-05-17,-0.866682945641104
2022-05-18,-0.8667232082901491
2022-05-19,-0.8667547712262648
2022-05-20,-0.8667794864596006
2022-05-23,-0.8667988228205935
2022-05-24,-0.8668139407523839
2022-05-25,-0.8668257543749222
2022-05-26,-0.8668349821603003
2022-05-27,-0.8668421878369839
2022-05-30,-0.8668478131328116
2022-05-31,-0.8668522038240224
2022-06-01,-0.8592405679414322
2022-06-02,-0.8607341862634305
2022-06-03,-0.8619725830950108
2022-06-06,-0.8629823990136859
2022-06-07,-0.8637963974069849
2022-06-08,-0.8644471858481233
2022-06-09,-0.8649643842518266
2022-06-10,-0.8653735964804736
2022-06-13,-0.865696293830027
2022-06-14,-0.8659501271584193
2022-06-15,-0.8661494092940075
2022-06-16,-0.8663056338924919
2022-06-17,-0.8664279656212802
2022-06-20,-0.8665236739261227
2022-06-21,-0.8665985023868481
2022-06-22,-0.8666569755617134
2022-06-23,-0.8667026496735954
2022-06-24,-0.866738315021929
2022-06-27,-0.8667661580350402
2022-06-28,-0.866787890202588
2022-06-29,-0.866804850180258
2022-06-30,-0.8668180843654152
2022-07-01,-0.8111718421729822
2022-07-04,-0.8226755378786066
2022-07-05,-0.8319433763003135
2022-07-06,-0.8393484674580176
2022-07-07,-0.8452305229150462
2022-07-08,-0.8498826973903562
2022-07-11,-0.8535503119661363
2022-07-12,-0.8564346891901065
2022-07-13,-0.8586988720666292
2022-07-14,-0.8604736728151888
2022-07-15,-0.8618633325974097
2022-07-18,-0.8629505006951103
2022-07-19,-0.863800458940608
2022-07-20,-0.8644646230954626
2022-07-21,-0.8649833991488965
2022-07-22,-0.8653884873233406
2022-07-25,-0.8657047254680489
2022-07-26,-0.8659515550508988
2022-07-27,-0.866144181755059
2022-07-28,-0.8662944911627769
2022-07-29,-0.8664117693278817
2022-08-01,-0.8665032686794204
2022-08-02,-0.8444291578392992
2022-08-03,-0.8470968181297985
2022-08-04,-0.849935065880478
2022-08-05,-0.8526694936414939
2022-08-08,-0.8551522787266419
2022-08-09,-0.8573196566507139
2022-08-10,-0.8591600537379365
2022-08-11,-0.8606915820311666
2022-08-12,-0.861947051716301
2022-08-15,-0.8629645856475897
2022-08-16,-0.8637821520512164
2022-08-17,-0.8644346864202417
2022-08-18,-0.8649528323473156
